go .	va !
i need to know why you re here .	il me faut savoir pourquoi tu es ici .
i really can t leave right now .	je ne peux vraiment pas partir immediatement .
i really don t want to do that .	je ne veux vraiment pas le faire .
i really don t want to do that .	je ne veux vraiment pas faire ca .
i really don t want to do this .	je ne veux vraiment pas faire ca .
i really think you should come .	je pense vraiment que vous devriez venir .
i really think you should come .	je pense vraiment que tu devrais venir .
i think i know why you re here .	je pense savoir pourquoi vous etes ici .
i think i know why you re here .	je pense savoir pourquoi tu es ici .
i think i should do it for you .	je pense que je devrais le faire pour vous .
i think tom is in love with me .	je crois que tom est amoureux de moi .
i think it s time for me to go .	je pense qu il est temps pour moi d y aller .
i think it s time for me to go .	je pense qu il est temps pour moi de partir .
i think it s time for me to go .	je pense que je dois y aller .
i think that we have to go now .	je crois que nous devons partir maintenant .
i think that s why tom is here .	je pense que c est pour ca que tom est la .
i think they want you to do it .	je pense qu ils veulent que tu le fasses .
i think they want you to do it .	je pense qu elles veulent que vous le fassiez .
i think we should get out here .	je pense que nous devrions sortir d ici .
i want to know what s going on .	je veux savoir ce qui se passe .
i want you to come work for me .	je veux que vous veniez travailler pour moi .
i want you to come work for me .	je veux que tu viennes travailler pour moi .
i d like to know where you are .	j aimerais savoir ou tu es .
i d like to know where you are .	j aimerais savoir ou vous etes .
i ll be happy to work with you .	je serai heureux de travailler avec vous .
i ll be happy to work with you .	je serai heureuse de travailler avec vous .
i ll be happy to work with you .	je serai heureuse de travailler avec toi .
i ll be happy to work with you .	je serai heureux de travailler avec toi .
i m going to be ready for that .	je vais etre pret pour ca .
i m going to see what i can do .	je vais voir ce que je peux faire .
i m very happy to be back home .	je suis tres heureux d etre de retour a la maison .
it is really time for us to go .	il est vraiment temps pour nous d y aller .
it is really time for us to go .	il est vraiment temps que nous y allions .
it s just that i don t like it .	c est juste que je ne l aime pas .
tell tom that i won t be there .	dis a tom que je ne serai pas la .
tell tom that i won t be there .	dites a tom que je ne serai pas la .
tell tom that i won t be there .	dis a tom que je n y serai pas .
tell tom that i won t be there .	dites a tom que je n y serai pas .
tell me what you want me to do .	dis moi ce que tu veux que je fasse .
that s not what you want to do .	ce n est pas ce que tu veux faire .
that s not what you want to do .	ce n est pas ce que vous voulez faire .
that s what i was going to say .	c est ce que j allais dire .
tom is going to need your help .	tom aura besoin de ton aide .
tom was home alone at the time .	tom habitait seul a l epoque .
we can still get there on time .	nous pouvons encore y parvenir a temps .
we didn t have time to do that .	nous n avons pas eu le temps de faire ca .
we didn t have time to see tom .	nous n avons pas eu le temps de voir tom .
what are you going to do to me ?	qu est ce que vous allez me faire ?
what are you going to do to me ?	que vas tu me faire ?
what do i have to do this time ?	que dois je faire cette fois ?
what do you need the money for ?	en quoi as tu besoin de l argent ?
what do you need the money for ?	pourquoi avez vous besoin de cet argent ?
what is it you want to tell us ?	que veux tu nous dire ?
what is it you want to tell us ?	que voulez vous nous dire ?
what was it that you did there ?	qu as tu fait la ?
what was it that you did there ?	qu y as tu fait ?
what was it that you did there ?	qu y avez vous fait ?
what was it that you did there ?	qu avez vous fait la ?
why do i have to do this alone ?	pourquoi dois je le faire seul ?
why do i have to do this alone ?	pourquoi dois je le faire seule ?
you did what you could to help .	tu as fait ce que tu pouvais pour aider .
you did what you could to help .	vous avez fait ce que vous pouviez pour aider .
you don t have to tell me this .	tu n es pas oblige me dire ca .
you don t have to tell me this .	tu n es pas obligee de me dire ca .
you don t have to tell me this .	vous n etes pas oblige de me dire ca .
you don t have to tell me this .	vous n etes pas obligee de me dire ca .
you don t have to tell me this .	vous n etes pas obliges de me dire ca .
you don t have to tell me this .	vous n etes pas obligees de me dire ca .
you have to tell me what to do .	tu dois me dire quoi faire .
you have to tell me what to do .	vous devez me dire quoi faire .
you know very well what i want .	tu sais tres bien ce que je veux .
you know very well what i want .	vous savez tres bien ce que je veux .
you need to tell me what to do .	il faut que tu me dises quoi faire .
you need to tell me what to do .	il faut que vous me disiez quoi faire .
you should see what tom can do .	vous devriez voir ce que tom peut faire .
you should see what tom can do .	tu devrais voir ce que tom peut faire .
you should tell tom what to do .	tu devrais dire a tom quoi faire .
you should tell tom what to do .	vous devriez dire a tom quoi faire .
are you happy with how you look ?	es tu satisfait de ton allure ?
are you happy with how you look ?	es tu satisfaite de ton allure ?
are you really going to do that ?	vas tu vraiment faire ca ?
are you really going to do that ?	allez vous vraiment faire cela ?
do you know how i can get there ?	savez vous comment je peux y aller ?
do you really think we can help ?	penses tu vraiment que nous pouvons aider ?
do you really want tom to leave ?	veux tu vraiment que tom parte ?
do you really want tom to leave ?	voulez vous vraiment que tom parte ?
do you think that s what i want ?	penses tu que c est ce que je veux ?
do you think that s what i want ?	pensez vous que cela soit ce que je veux ?
don t tell me you didn t see it .	ne me dis pas que tu ne l as pas vu .
he didn t give me time to think .	il ne m a pas donne le temps de reflechir .
how did you get tom to help you ?	comment as tu convaincu tom de t aider ?
how do you know i don t have it ?	comment savez vous que je ne l ai pas ?
how do you know i don t have it ?	comment sais tu que je ne l ai pas ?
how do you know that tom did it ?	comment sais tu que tom l a fait ?
i can t tell you how to do that .	je ne peux pas te dire comment faire ca .
i didn t know tom could do that .	j ignorais que tom puisse faire cela .
i didn t know tom could do that .	je ne savais pas que tom puisse le faire .
i didn t know that he was there .	je ne savais pas qu il etait la .
i didn t know that he was there .	j ignorais qu il se trouvait la .
i didn t know that he was there .	j ignorais qu il s y trouvait .
i didn t know what i should say .	je ne savais pas quoi dire .
i didn t know what i should say .	je ne savais pas ce que je devais dire .
i didn t really want to do that .	je ne voulais pas vraiment faire cela .
i didn t think we could do that .	je ne croyais pas que nous pouvions faire cela .
i don t know what to do with it .	je ne sais pas quoi en faire .
i don t know what to do with it .	j ignore quoi en faire .
i don t know what to say to tom .	je ne sais pas quoi dire a thomas .
i don t know where you re going .	j ignore ou tu te rends .
i don t know why it didn t work .	je ne sais pas pourquoi cela n a pas marche .
i don t really know what to say .	je ne sais pas vraiment quoi dire .
i don t think i want to be here .	je ne pense pas que je veuille etre ici .
i don t think we should do that .	je ne pense pas que l on devrait faire ca .
i just can t help you right now .	je ne peux simplement pas vous aider a l instant .
i just can t help you right now .	je ne peux simplement pas t aider a l instant .
i just can t help you this time .	je ne peux simplement pas t aider cette fois .
i just can t help you this time .	je ne peux simplement pas vous aider cette fois .
i just know that it s not right .	je sais juste que ce n est pas correct .
i just want to have a good time .	je veux juste prendre du bon temps .
i know i got it right this time .	je sais que j ai trouve cette fois .
i know i got it right this time .	je sais que j ai donne la bonne reponse cette fois .
i know i got it right this time .	je sais que j ai fourni la bonne reponse cette fois .
i know i got it right this time .	je sais que j ai compris cette fois .
i know i got it right this time .	je sais que j ai saisi cette fois .
i know that tom did that for us .	je sais que tom l a fait pour nous .
i know that s not what you want .	je sais que ce n est pas ce que tu veux .
i know that s not what you want .	je sais que ce n est pas ce que vous souhaitez .
i know what they re going to do .	je sais ce qu ils vont faire .
i know what they re going to do .	je sais ce qu elles vont faire .
i really don t know what to say .	je ne sais vraiment pas quoi dire .
i really think you should leave .	je pense vraiment que vous devriez partir .
i really think you should leave .	je pense vraiment que tu devrais partir .
i think tom is in love with you .	je pense que tom est amoureux de toi .
i want to know how they do that .	je veux savoir comment elles font cela .
i want to know how they do that .	je veux savoir comment ils font cela .
i want to know why you did that .	je veux savoir pourquoi tu as fait ca .
i want to know why you did that .	je veux savoir pourquoi vous avez fait ca .
i will give you what help i can .	je vous donnerai toute l aide que je peux .
i won t tell you why i did that .	je ne te dirai pas pourquoi j ai fait ca .
i won t tell you why i did that .	je ne vous dirai pas pourquoi j ai fait ca .
i m happy to have you here tom .	je suis ravi de t avoir ici tom .
is tom really going to eat that ?	tom va t il vraiment manger ca ?
is that what you want me to say ?	est ce ce que tu veux que je dise ?
is that what you want me to say ?	est ce ce que vous voulez que je dise ?
just tell tom to leave me alone .	dis juste a tom de me laisser seule .
just tell tom to leave me alone .	dis simplement a tom de me laisser tranquille .
no one could tell where she was .	personne ne pouvait dire ou elle se trouvait .
so what is it you want me to do ?	alors que voulez vous que je fasse ?
so what is it you want me to do ?	alors c est quoi que tu veux que je fasse ?
so what is it you want me to do ?	alors c est quoi que vous voulez que je fasse ?
that s all i have to say to you .	c est tout ce que j ai a vous dire .
that s all i have to say to you .	c est tout ce que j ai a te dire .
that s not what i m going to do .	ce n est pas ce que je vais faire .
they don t look happy to see me .	ils n ont pas l air heureux de me voir .
they don t look happy to see me .	elles n ont pas l air heureuses de me voir .
they don t look happy to see us .	ils n ont pas l air heureux de nous voir .
they don t look happy to see us .	elles n ont pas l air heureuses de nous voir .
this time i think you re right .	cette fois je pense que tu as raison .
this time i think you re right .	cette fois je pense que vous avez raison .
tom did all he could do to help .	tom a fait tout ce qu il a pu pour aider .
tom did all he could do to help .	tom fit tout ce qu il put pour aider .
tom will know what we should do .	tom saura ce que nous devrions faire .
we have to get tom out of there .	nous devons sortir tom de la .
we just have to get out of here .	il nous faut juste sortir d ici .
we just have to get out of here .	il nous suffit de sortir d ici .
what do they know that we don t ?	que savent ils que nous ignorons ?
what do you want me to tell tom ?	que veux tu que je dise a tom ?
where do you think you re going ?	ou crois tu que tu vas ?
why didn t you say it like that ?	pourquoi ne l avez vous pas dit ainsi ?
why didn t you say it like that ?	pourquoi ne l as tu pas dit ainsi ?
why do you have to be like that ?	pourquoi te faut il etre ainsi ?
why do you have to be like that ?	pourquoi vous faut il etre ainsi ?
you can t be happy all the time .	tu ne peux pas etre heureux tout le temps .
you can t be happy all the time .	vous ne pouvez pas toujours etre heureuse .
you didn t need to tell me that .	vous n aviez pas besoin de me dire cela .
you didn t need to tell me that .	tu n avais pas besoin de me dire ca .
you need to come home right now .	tu dois rentrer a la maison tout de suite .
you really didn t know did you ?	tu ne savais vraiment pas n est ce pas ?
you really didn t know did you ?	vous ne saviez vraiment pas n est ce pas ?
you really don t get it do you ?	vous ne pigez vraiment pas hein ?
you really don t get it do you ?	tu ne piges vraiment pas hein ?
can you tell me why you like him ?	peux tu me dire pourquoi tu l aimes ?
can you tell me why you like him ?	pouvez vous me dire pourquoi vous l aimez ?
can you tell us how that ll work ?	pouvez vous nous dire comment ca fonctionnera ?
can you tell us how that ll work ?	peux tu nous dire comment ca fonctionnera ?
can t you tell me how to do this ?	ne peux tu pas me dire comment faire ca ?
can t you tell me how to do this ?	ne pouvez vous pas me dire comment faire ceci ?
did you tell tom why you re here ?	as tu dit a tom pourquoi tu es ici ?
did you tell tom why you re here ?	avez vous dit a tom pourquoi vous etes ici ?
do you have to do this right now ?	dois tu faire ca maintenant ?
do you have to do this right now ?	devez vous faire ceci maintenant ?
do you really think tom is happy ?	penses tu vraiment que tom est heureux ?
do you really think tom is happy ?	pensez vous vraiment que tom est heureux ?
do you really think tom is ready ?	crois tu vraiment que tom est pret ?
do you really think tom is ready ?	croyez vous vraiment que tom est pret ?
do you really think it s no good ?	penses tu vraiment que ce ne soit pas bon ?
do you really think it s no good ?	pensez vous vraiment que ce ne soit pas bon ?
do you want to know what i think ?	veux tu savoir ce que je pense ?
do you want to know what i think ?	voulez vous savoir ce que je pense ?
do you want to know what i think ?	tu veux savoir ce que j en pense ?
do you want to know what i think ?	vous voulez savoir ce que j en pense ?
how do you think it made me feel ?	comment penses tu que ca m a fait me sentir ?
how do you think it made me feel ?	comment pensez vous que ca m a fait me sentir ?
i didn t do what you think i did .	je n ai pas fait ce que tu crois que j ai fait .
i didn t know they could do that .	je ne savais pas qu ils pouvaient faire cela .
i didn t know they could do that .	je ne savais pas qu elles pouvaient faire ca .
i didn t know what to do with it .	j ignorais quoi en faire .
i didn t know what to do with it .	j ignorais qu en faire .
i didn t know what to do with it .	je ne savais qu en faire .
i didn t know what to do with it .	je ne savais quoi en faire .
i didn t know what to say to her .	je n ai pas su que lui dire .
i didn t know what to say to him .	je ne sus pas quoi lui dire .
i didn t know what to say to him .	je n ai pas su quoi lui dire .
i didn t know what to say to him .	je ne savais pas quoi lui dire .
i didn t know what to say to him .	je ne savais quoi lui dire .
i do not think that he will come .	je ne pense pas qu il viendra .
i don t know what you want to do .	j ignore ce que vous voulez faire .
i don t know what you want to do .	je ne sais pas ce que tu veux faire .
i don t know where i should look .	je ne sais pas ou je devrais regarder .
i don t know where you are going .	j ignore ou tu te rends .
i don t know why i just did that .	j ignore pourquoi je viens de faire ca .
i don t know why we have to stop .	j ignore pourquoi nous devons nous arreter .
i don t like what you did to tom .	je n aime pas ce que tu as fait a tom .
i don t like what you did to tom .	je n aime pas ce que vous avez fait a tom .
i don t think tom will come back .	je ne pense pas que tom reviendra .
i don t think that she will come .	je ne pense pas qu elle viendra .
i don t think that s what i need .	je ne pense pas que ce soit ce dont j ai besoin .
i don t think we need to do that .	je ne pense pas que nous avons besoin de faire cela .
i don t think you should do that .	je ne pense pas que tu devrais faire ca .
i don t think you should do that .	je ne pense pas que vous devriez faire cela .
i don t want you to do that tom .	je ne veux pas que tu fasses ca tom .
i don t want you to do that tom .	je ne veux pas que vous fassiez ca tom .
i just don t want to go with you .	je ne veux simplement pas aller avec toi .
i just don t want to go with you .	je ne veux simplement pas aller avec vous .
i just don t want you to have it .	je ne veux juste pas que tu l aies .
i just don t want you to have it .	je ne veux juste pas que vous l ayez .
i know that tom is all right now .	je sais que tom va bien maintenant .
i know that you want to be happy .	je sais que tu veux etre heureux .
i need you to tell me what to do .	j ai besoin que tu me dises quoi faire .
i need you to tell me what to do .	j ai besoin que vous me disiez quoi faire .
i really think we should do this .	je pense vraiment que nous devrions faire ca .
i think we should try to do that .	je pense qu on devrait essayer de faire ca .
i want to know how you know that .	je veux savoir comment tu sais cela .
i want to know how you know that .	je veux savoir d ou tu tiens ca .
i want to know how you know that .	je veux savoir comment vous savez cela .
i want to know how you know that .	je veux savoir d ou vous tenez cela .
i want to know what time to come .	je veux savoir a quelle heure venir .
i want you out of here right now .	je veux que vous sortiez d ici immediatement .
i want you out of here right now .	je veux que tu sortes d ici immediatement .
i want you to tell me what to do .	je veux que tu me dises quoi faire .
i want you to tell me what to do .	je veux que vous me disiez quoi faire .
i d like to know what s going on .	j aimerais savoir ce qui se passe .
i d like you to come work for me .	j aimerais que tu viennes travailler pour moi .
i d like you to come work for me .	j aimerais que vous veniez travailler pour moi .
i m going to get you out of here .	je vais te sortir de la .
it may well be that you re right .	il se peut bien que tu aies raison .
it may well be that you re right .	il se peut bien que vous ayez raison .
now tell us what we want to know .	maintenant dites nous ce que nous voulons savoir !
now tell us what we want to know .	maintenant dis nous ce que nous voulons savoir !
she didn t give me back my money .	elle ne m a pas rendu mon argent .
tell me why you want to go there .	dis moi pourquoi tu veux aller la bas .
that was what i was going to say .	c est ce que j allais dire .
that s just what i m going to do .	c est justement ce que je vais faire .
that s why you re here isn t it ?	c est pour ca que vous etes ici n est ce pas ?
there is no need for him to work .	il n a pas besoin de travailler .
there is no need for him to work .	il n est pas necessaire qu il travaille .
this can t be what i think it is .	ca ne peut pas etre ce que je pense que c est .
tom didn t give me back my money .	tom ne m a pas rendu mon argent .
tom should never have to do that .	tom ne devrait jamais avoir a faire ca .
what are you going to do with it ?	qu allez vous en faire ?
what are you going to do with it ?	que vas tu en faire ?
why are you so busy all the time ?	pourquoi etes vous tout le temps si occupes ?
why are you so busy all the time ?	pourquoi es tu tout le temps si occupee ?
why are you so busy all the time ?	pourquoi es tu tout le temps si occupe ?
why are you so busy all the time ?	pourquoi etes vous tout le temps si occupe ?
why are you so busy all the time ?	pourquoi etes vous tout le temps si occupees ?
why don t you tell me what to do ?	pourquoi ne me dites vous pas quoi faire ?
why don t you tell me what to do ?	pourquoi ne me dis tu pas quoi faire ?
you all know what you have to do .	vous savez tous ce que vous avez a faire .
you know what this is don t you ?	tu sais ce que c est n est ce pas ?
you know what this is don t you ?	vous savez ce dont il s agit n est ce pas ?
you really don t need to do that .	vous n avez vraiment pas besoin de faire cela .
you really don t need to do that .	tu n as vraiment pas besoin de faire ca .
you ll never want what they want .	tu ne voudras jamais ce qu ils veulent .
you ll never want what they want .	tu ne voudras jamais ce qu elles veulent .
you ll never want what they want .	vous ne voudrez jamais ce qu ils veulent .
you ll never want what they want .	vous ne voudrez jamais ce qu elles veulent .
you re going to want to see this .	vous allez vouloir voir ca .
all i want is for you to be happy .	tout ce que je veux c est que tu sois heureuse .
all i want is for you to be happy .	tout ce que je veux c est que tu sois heureux .
all i want is for you to be happy .	tout ce que je veux c est que vous soyez heureuses .
all i want is for you to be happy .	tout ce que je veux c est que vous soyez heureuse .
all i want is for you to be happy .	tout ce que je veux c est que vous soyez heureux .
could you tell me what time it is ?	pourrais tu me donner l heure ?
could you tell me what time it is ?	pourriez vous me donner l heure ?
could you tell me what s going on ?	pourrais tu me dire ce qu il se passe ?
could you tell me what s going on ?	pourriez vous me dire ce qui est en train de se passer ?
do you know what s going on there ?	savez vous ce qu il se passe la bas ?
do you really want tom to do that ?	voulez vous vraiment que tom fasse ca ?
do you really want tom to do that ?	veux tu vraiment que tom fasse ca ?
do you really want me to help you ?	est ce que tu veux vraiment que je t aide ?
do you really want me to help you ?	voulez vous vraiment que je vous aide ?
do you want to leave it like that ?	voulez vous le laisser ainsi ?
do you want to leave it like that ?	veux tu le laisser ainsi ?
i can t go now . i have work to do .	je ne peux pas m y rendre pour le moment . j ai du travail a faire .
i didn t know you were still here .	je ne savais pas que vous etiez encore ici .
i didn t know you were still here .	je ne savais pas que tu etais encore ici .
i didn t want to come here at all .	je ne voulais pas du tout venir ici .
i don t have the money to do that .	je ne dispose pas de l argent pour le faire .
i don t have time for all of this .	je n ai pas le temps pour tout ca .
i don t have time to help you now .	je n ai pas le temps de vous aider maintenant .
i don t know what i m going to do .	je ne sais pas ce que je vais faire .
i don t know what i m going to do .	j ignore ce que je vais faire .
i don t know what to do right now .	je ne sais pas quoi faire la .
i don t know what you really want .	je ne sais pas ce que vous voulez vraiment .
i don t know what you really want .	j ignore ce que vous voulez vraiment .
i don t know what you really want .	je ne sais pas ce que tu veux vraiment .
i don t know what you really want .	j ignore ce que tu veux vraiment .
i don t know why tom didn t do it .	je ne sais pas pourquoi tom ne l a pas fait .
i don t like your going out alone .	je n aime pas que tu sortes seule .
i don t need to be here right now .	je n ai pas besoin d etre ici a l instant .
i don t think i can do this alone .	je ne pense pas pouvoir faire ca seul .
i don t think i can do this alone .	je ne pense pas pouvoir faire ceci seule .
i don t think i d want to do that .	je ne pense pas que je voudrais faire ca .
i don t think you should eat that .	je ne pense pas que tu devrais manger ca .
i don t think you should eat that .	je ne pense pas que vous devriez manger cela .
i don t want to be alone with tom .	je ne veux pas etre seul avec tom .
i don t want to be alone with tom .	je ne veux pas etre seule avec tom .
i just want tom to leave me alone .	je veux juste que tom me laisse tranquille .
i just want you to leave me alone .	je veux juste que tu me laisses tranquille .
i know that s not why you re here .	je sais que ce n est pas la raison de votre presence ici .
i know that s not why you re here .	je sais que c est pas pour ca que tu es ici .
i know what it s like to be alone .	je sais ce qu est etre seul .
i know what it s like to be alone .	je sais ce que c est d etre seul .
i know what it s like to be alone .	je sais ce qu est etre seule .
i know what it s like to be alone .	je sais ce que c est d etre seule .
i know what they ll want me to do .	je sais ce qu ils voudront que je fasse .
i know what they ll want me to do .	je sais ce qu elles voudront que je fasse .
i really don t have time for this .	je n ai vraiment pas de temps pour ca .
i think i know why tom isn t here .	je pense savoir pourquoi tom n est pas ici .
i think i know why tom isn t here .	je pense que je sais pourquoi tom n est pas ici .
i think tom is going to come back .	je pense que tom va revenir .
i think it s time for me to leave .	je pense qu il est temps pour moi de partir .
i think it s time for us to leave .	je pense qu il est temps pour nous de partir .
i think that i m going to do that .	je pense que je ferai ca .
is that all you have to say to me ?	est ce tout ce que tu as a me dire ?
is that all you have to say to me ?	est ce tout ce que vous avez a me dire ?
so do you really want to do this ?	alors voulez vous vraiment faire cela ?
so do you really want to do this ?	alors veux tu vraiment faire cela ?
so what is it you want me to say ?	alors que veux tu que je dise ?
so what is it you want me to say ?	alors que voulez vous que je dise ?
that s just what i need right now .	c est precisement ce qu il me faut a l instant .
that s just what i need right now .	c est precisement ce dont j ai besoin a l instant .
they just want to get to know you .	ils veulent simplement faire ta connaissance .
they just want to get to know you .	elles veulent simplement faire ta connaissance .
they just want to get to know you .	ils veulent simplement faire votre connaissance .
they just want to get to know you .	elles veulent simplement faire votre connaissance .
they want to know what s going on .	ils veulent savoir ce qui se passe .
they want to know what s going on .	elles veulent savoir ce qui se passe .
what are you going to tell me now ?	qu allez vous me dire la ?
what do you think this is made of ?	de quoi penses tu que ceci soit fait ?
what do you think this is made of ?	en quoi pensez vous que ceci soit fait ?
what is it that you want me to do ?	que veux tu que je fasse ?
what is it that you want me to do ?	que voulez vous que je fasse ?
why didn t tom tell us what to do ?	pourquoi tom ne nous a t il pas dit quoi faire ?
why do i have to give this to you ?	pourquoi dois je vous donner ceci ?
why do i have to give this to you ?	pourquoi est ce que je dois te donner ca ?
why do you want to go out with me ?	pourquoi veux tu sortir avec moi ?
why do you want to go out with me ?	pourquoi voulez vous sortir avec moi ?
why don t you give me what i want ?	pourquoi ne me donnes tu pas ce que je veux ?
why don t you give me what i want ?	pourquoi ne me donnez vous pas ce que je souhaite ?
will you tell me why you like her ?	pourrais tu me dire pourquoi tu l aimes ?
you don t know what it is do you ?	tu ignores ce que c est non ?
you just made that up didn t you ?	tu viens d inventer ca n est ce pas ?
you just made that up didn t you ?	vous venez d inventer cela n est ce pas ?
you know we don t need to do that .	tu sais que nous n en n avons pas besoin .
you want to leave here don t you ?	tu veux partir d ici n est ce pas ?
you want to leave here don t you ?	vous voulez partir d ici n est ce pas ?
can you tell me why tom isn t here ?	peux tu me dire pourquoi tom n est pas la ?
can you tell me why tom isn t here ?	pouvez vous me dire pourquoi tom n est pas la ?
can you tell me why tom isn t here ?	peux tu me dire pourquoi tom n est pas ici ?
can you tell me why tom isn t here ?	pouvez vous me dire pourquoi tom n est pas ici ?
did tom tell you where he got this ?	tom t a t il dit ou il avait eu ca ?
do you really want to work with us ?	veux tu vraiment travailler avec nous ?
do you really want to work with us ?	voulez vous vraiment travailler avec nous ?
don t you want to know what i want ?	ne veux tu pas savoir ce que je veux ?
don t you want to know what i want ?	ne voulez vous pas savoir ce que je veux ?
don t you want to know where i was ?	ne veux tu pas savoir ou j etais ?
don t you want to know where i was ?	ne voulez vous pas savoir ou j etais ?
i am so busy that i can t help you .	je suis tellement occupe que je ne peux pas vous aider .
i am so busy that i can t help you .	je suis tellement occupe que je ne peux pas t aider .
i do not think that she is at home .	je ne pense pas qu elle se trouve chez elle .
i don t know what i can do to help .	je ne sais pas ce que je peux faire pour aider .
i don t know what i want right now .	j ignore ce que je veux pour le moment .
i don t know why i have to do this .	je ne sais pas pourquoi je dois faire ceci .
i don t think i m going to do that .	je ne pense que je vais faire ca .
i have no one to leave my money to .	je n ai personne a qui leguer mon argent .
i really don t think i can do that .	je ne pense vraiment pas pouvoir faire cela .
i think tom may be right this time .	je pense qu il se peut que tom ait raison cette fois ci .
i think it s time for you to leave .	je pense qu il est temps pour vous de partir .
i think it s time for you to leave .	je pense qu il est temps pour toi de partir .
i think that we should go home now .	je pense que nous devrions rentrer maintenant .
i think we should get back to work .	je pense que nous devrions retourner au travail .
i think we re going to need it all .	je pense que nous allons avoir besoin du tout .
i think we re going to need it all .	je pense que nous allons avoir besoin de l ensemble .
i think you should leave tom alone .	je pense que tu devrais laisser tom seul .
i think you should leave tom alone .	je pense que vous devriez laisser tom seul .
i want to go back to where we were .	je veux revenir la ou nous en etions .
i want to know what we re here for .	je veux savoir pourquoi nous sommes ici .
i ll tell you why i don t like tom .	je te dirai pourquoi je n aime pas tom .
i ll tell you why i don t like tom .	je vous dirai pourquoi je n aime pas tom .
i m going to tell you what i think .	je vais te dire ce que je pense .
i m going to tell you what i think .	je vais vous dire ce que je pense .
is that what you really want to do ?	est ce la ce que tu veux vraiment faire ?
is that what you really want to do ?	est ce la ce que vous voulez vraiment faire ?
is this really what you want to do ?	est ce la reellement ce que tu veux faire ?
is this really what you want to do ?	est ce la reellement ce que vous voulez faire ?
she didn t know what to say to him .	elle ne savait pas quoi lui dire .
she didn t know what to say to him .	elle n a pas su quoi lui dire .
she didn t know what to say to him .	elle ne sut pas quoi lui dire .
they re back where they want to be .	ils sont de retour la ou ils veulent etre .
they re back where they want to be .	elles sont de retour la ou elles veulent etre .
what are you going to do with that ?	qu allez vous faire avec cela ?
what are you going to do with that ?	que vas tu faire avec ca ?
what do you think they ll do to me ?	que pensez vous qu ils me feront ?
what do you think they ll do to me ?	que penses tu qu ils me feront ?
why did you want to come back here ?	pourquoi as tu voulu revenir ici ?
why did you want to come back here ?	pourquoi avez vous voulu revenir ici ?
why don t you want to come with us ?	pourquoi ne veux tu pas venir avec nous ?
you don t know where it is do you ?	tu ne sais pas ou il est n est ce pas ?
you don t know where it is do you ?	tu ne sais pas ou elle est n est ce pas ?
you don t know where it is do you ?	vous ne savez pas ou elle est n est ce pas ?
you don t know where it is do you ?	vous ne savez pas ou il est n est ce pas ?
you don t really want that do you ?	tu ne le veux pas vraiment si ?
you don t really want that do you ?	tu ne veux pas vraiment ca si ?
you don t really want that do you ?	vous ne le voulez pas vraiment si ?
you don t really want that do you ?	vous ne voulez pas vraiment ca si ?
you don t want to see this do you ?	tu ne veux pas voir ca si ?
you don t want to see this do you ?	tu ne veux pas voir ceci si ?
you don t want to see this do you ?	vous ne voulez pas voir ca si ?
you don t want to see this do you ?	vous ne voulez pas voir ceci si ?
you want me to help you don t you ?	tu veux que je t aide n est ce pas ?
you want me to help you don t you ?	vous voulez que je vous aide n est ce pas ?
you re not going to do it are you ?	tu ne vas pas le faire n est ce pas ?
you re not going to do it are you ?	vous n allez pas le faire n est ce pas ?
did tom tell you where he was going ?	tom t a t il dit ou il allait ?
did tom tell you where he was going ?	tom vous a t il dit ou il allait ?
do you really think you can do that ?	penses tu vraiment pouvoir faire ca ?
do you really think you can do that ?	pensez vous vraiment pouvoir faire cela ?
do you really think you can do this ?	penses tu vraiment etre en mesure de le faire ?
do you want to tell me what this is ?	veux tu me dire ce dont il s agit ?
do you want to tell me what this is ?	voulez vous me dire ce dont il s agit ?
do you want to tell me what this is ?	veux tu me dire ce qu est ceci ?
do you want to tell me what this is ?	voulez vous me dire ce qu est ceci ?
don t give it to him . give it to me .	ne le lui donne pas . donne le moi .
don t give it to him . give it to me .	ne le lui donnez pas . donnez le moi .
how can you eat at a time like this ?	comment peux tu manger a un moment pareil ?
i didn t really feel like going out .	je n avais pas vraiment envie de sortir .
i don t know why you don t like tom .	je ne sais pas pourquoi tu n aimes pas tom .
i don t know why you don t like tom .	je ne sais pas pourquoi vous n aimez pas tom .
i don t know why you don t like him .	je ne sais pas pourquoi vous ne l aimez pas .
i don t know why you don t like him .	j ignore pourquoi tu ne l aimes pas .
i don t think tom will give it back .	je ne crois pas que tom le rendra .
i just want to know what s going on .	je veux juste savoir ce qui se passe .
i know they ll all want to help you .	je sais qu elles voudront toutes t aider .
i know they ll all want to help you .	je sais qu elles voudront toutes vous aider .
i know they ll all want to help you .	je sais qu elles voudront toutes t assister .
i know they ll all want to help you .	je sais qu elles voudront toutes vous assister .
i know they ll all want to help you .	je sais qu ils voudront tous t assister .
i know they ll all want to help you .	je sais qu ils voudront tous t aider .
i know they ll all want to help you .	je sais qu ils voudront tous vous assister .
i know they ll all want to help you .	je sais qu ils voudront tous vous aider .
i know you re still in love with me .	je sais que tu m aimes toujours .
i really need to be alone right now .	il me faut vraiment etre seul a l instant .
i really need to be alone right now .	il me faut vraiment etre seule a l instant .
i think you know what you should do .	je pense que vous savez ce que vous devriez faire .
i think you know what you should do .	je pense que tu sais ce que tu devrais faire .
i ll tell you what you want to know .	je te dirai ce que tu veux savoir .
